STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Arunachal Pradesh,2001,DACOITY,22,6,5967868,401326
Arunachal Pradesh,2001,TOTAL (MANUAL),858,300,58483056,9652850
Arunachal Pradesh,2002,BURGLARY,249,66,8057641,4414636
Arunachal Pradesh,2002,ROBBERY,96,21,2330807,761480
Arunachal Pradesh,2002,THEFTS,395,173,16774035,4907242
Arunachal Pradesh,2002,C.B. OF TRUST,23,10,2858359,1258813
Arunachal Pradesh,2002,OTHER KINDS OF PROP. OFF.,34,21,5816326,2461567
Arunachal Pradesh,2002,TOTAL (MANUAL),819,295,39483510,14786088
Arunachal Pradesh,2002,DACOITY,22,4,3646342,982350
Arunachal Pradesh,2003,ROBBERY,60,13,1282310,229759
Arunachal Pradesh,2003,TOTAL (MANUAL),776,265,44089224,17151100
Arunachal Pradesh,2003,OTHER KINDS OF PROP. OFF.,28,14,3093260,215410
Arunachal Pradesh,2003,C.B. OF TRUST,28,6,4736411,413574
Arunachal Pradesh,2003,THEFTS,370,141,14623150,3765257
Arunachal Pradesh,2003,BURGLARY,253,83,18114179,12276582
Arunachal Pradesh,2003,DACOITY,37,8,2239914,250518
Arunachal Pradesh,2004,OTHER KINDS OF PROP. OFF.,26,10,1904046,263470
Arunachal Pradesh,2004,C.B. OF TRUST,26,1,2786122,7000
Arunachal Pradesh,2004,THEFTS,388,114,11244293,3619988
Arunachal Pradesh,2004,BURGLARY,215,41,6750572,1129291
Arunachal Pradesh,2004,ROBBERY,45,12,953041,355334
Arunachal Pradesh,2004,DACOITY,30,4,4350673,762200
Arunachal Pradesh,2004,TOTAL (MANUAL),730,182,27988747,6137283
Arunachal Pradesh,2005,ROBBERY,77,27,1668677,545199
Arunachal Pradesh,2005,DACOITY,23,7,1988970,1065230
Arunachal Pradesh,2005,BURGLARY,263,56,7275247,1185696
Arunachal Pradesh,2005,C.B. OF TRUST,36,7,55772925,1170875
Arunachal Pradesh,2005,OTHER KINDS OF PROP. OFF.,19,3,1606867,149500
Arunachal Pradesh,2005,TOTAL (MANUAL),949,247,103453293,10650151
Arunachal Pradesh,2005,THEFTS,531,147,35140607,6533651
Arunachal Pradesh,2006,THEFTS,451,172,18046894,5287871
Arunachal Pradesh,2006,DACOITY,28,10,675603,112550
Arunachal Pradesh,2006,BURGLARY,257,87,12667956,2558587
Arunachal Pradesh,2006,C.B. OF TRUST,45,23,10552823,1603077
Arunachal Pradesh,2006,OTHER KINDS OF PROP. OFF.,16,5,2521560,460300
Arunachal Pradesh,2006,TOTAL (MANUAL),871,334,46993246,11115684
Arunachal Pradesh,2006,ROBBERY,74,37,2528410,1093299
Arunachal Pradesh,2007,TOTAL (MANUAL),896,386,98711949,19622170
Arunachal Pradesh,2007,DACOITY,16,9,1625690,109790
Arunachal Pradesh,2007,BURGLARY,240,90,11311656,4211030
Arunachal Pradesh,2007,C.B. OF TRUST,41,17,51346151,3274206
Arunachal Pradesh,2007,THEFTS,513,228,28418744,9720166
Arunachal Pradesh,2007,OTHER KINDS OF PROP. OFF.,11,4,2685300,337278
Arunachal Pradesh,2007,ROBBERY,75,38,3324408,1969700
Arunachal Pradesh,2008,TOTAL (MANUAL),871,401,88071518,24196386
Arunachal Pradesh,2008,ROBBERY,79,40,1282910,714120
Arunachal Pradesh,2008,BURGLARY,245,92,7156154,2926035
Arunachal Pradesh,2008,THEFTS,445,217,51707894,8810883
Arunachal Pradesh,2008,DACOITY,14,10,1123220,1085820
Arunachal Pradesh,2008,OTHER KINDS OF PROP. OFF.,45,28,3065118,968788
Arunachal Pradesh,2008,COMP. TOTAL (6 TO 15),871,401,88071518,24196386
Arunachal Pradesh,2008,C.B. OF TRUST,43,14,23736222,9690740
Arunachal Pradesh,2009,DACOITY,20,14,4500600,2721500
Arunachal Pradesh,2009,ROBBERY,55,29,2039140,761840
Arunachal Pradesh,2009,BURGLARY,201,89,159726496,156360345
Arunachal Pradesh,2009,THEFTS,381,176,31164607,5700050
Arunachal Pradesh,2009,C.B. OF TRUST,38,14,44973410,3314510
Arunachal Pradesh,2009,OTHER KINDS OF PROP. OFF.,20,5,3686341,24090
Arunachal Pradesh,2009,TOTAL (MANUAL),715,327,246090594,168882335
Arunachal Pradesh,2010,TOTAL (MANUAL),831,287,194577564,41183072
Arunachal Pradesh,2010,BURGLARY,211,68,13423241,5064245
Arunachal Pradesh,2010,DACOITY,15,5,1258330,349000
Arunachal Pradesh,2010,ROBBERY,69,26,4502105,1541787
Arunachal Pradesh,2010,THEFTS,445,162,39036632,14183400
Arunachal Pradesh,2010,OTHER KINDS OF PROP. OFF.,32,6,22043117,995920
Arunachal Pradesh,2010,C.B. OF TRUST,59,20,114314139,19048720
Arunachal Pradesh,2011,DACOITY,13,1,217041067,150000
Arunachal Pradesh,2011,TOTAL (MANUAL),795,266,789098969,34817166
Arunachal Pradesh,2011,ROBBERY,64,30,8708070,1950542
Arunachal Pradesh,2011,BURGLARY,183,70,41016795,14960190
Arunachal Pradesh,2011,THEFTS,414,134,159726183,14910927
Arunachal Pradesh,2011,C.B. OF TRUST,54,12,238923606,1961130
Arunachal Pradesh,2011,OTHER KINDS OF PROP. OFF.,67,19,123683248,884377
Arunachal Pradesh,2012,OTHER KINDS OF PROP. OFF.,22,3,2896404,109299
Arunachal Pradesh,2012,ROBBERY,65,31,787361,396000
Arunachal Pradesh,2012,COMP. TOTAL (6 TO 15),779,313,200806336,14619557
Arunachal Pradesh,2012,TOTAL (MANUAL),779,313,200806336,14619557
Arunachal Pradesh,2012,BURGLARY,215,86,19159950,5452638
Arunachal Pradesh,2012,DACOITY,20,8,4032499,440800
Arunachal Pradesh,2012,THEFTS,402,163,31545243,6711930
Arunachal Pradesh,2012,C.B. OF TRUST,55,22,142384879,1508890
Assam,2001,ROBBERY,687,146,16336928,3773502
Assam,2001,DACOITY,532,116,15912145,4451846
Assam,2001,BURGLARY,2423,539,21466955,3722850
Assam,2001,THEFTS,5367,1163,38223829,7609277
Assam,2001,C.B. OF TRUST,374,37,18282901,1972335
Assam,2001,OTHER KINDS OF PROP. OFF.,395,148,11379457,3459533
Assam,2001,TOTAL (MANUAL),9778,2149,121602215,24989343
Assam,2002,C.B. OF TRUST,558,82,15255432,1926211
Assam,2002,DACOITY,473,90,14499405,2555266
Assam,2002,ROBBERY,607,168,13045262,3675228
Assam,2002,THEFTS,5555,1216,65560628,15509124
Assam,2002,TOTAL (MANUAL),10269,2258,139977748,29712976
Assam,2002,OTHER KINDS OF PROP. OFF.,572,218,9470471,2452186
Assam,2002,BURGLARY,2504,484,22146550,3594961
Assam,2003,BURGLARY,2606,509,19841323,4036694
Assam,2003,DACOITY,471,83,17473511,4478050
Assam,2003,ROBBERY,523,117,16001672,4226116
Assam,2003,TOTAL (MANUAL),10298,2272,182583864,51941294
Assam,2003,OTHER KINDS OF PROP. OFF.,562,201,17315893,4779994
Assam,2003,C.B. OF TRUST,611,119,14826295,1390986
Assam,2003,THEFTS,5525,1243,97125170,33029454
Assam,2004,BURGLARY,2544,414,46224544,6262774
Assam,2004,OTHER KINDS OF PROP. OFF.,714,211,18860636,4169182
Assam,2004,C.B. OF TRUST,586,82,35994035,3040762
Assam,2004,THEFTS,5866,1379,75688410,15153750
Assam,2004,ROBBERY,505,113,12619548,3026409
Assam,2004,TOTAL (MANUAL),10575,2264,205124349,34821706
Assam,2004,DACOITY,360,65,15737176,3168829
Assam,2005,OTHER KINDS OF PROP. OFF.,693,226,9368936,4979023
Assam,2005,DACOITY,334,60,20152383,4900145
Assam,2005,ROBBERY,451,114,13050733,2836984
Assam,2005,BURGLARY,2255,523,29458429,7068609
