STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Chhattisgarh,2010,DACOITY,122,36,42282293,8225470
Chhattisgarh,2010,BURGLARY,3711,1190,107637049,21946160
Chhattisgarh,2010,THEFTS,5805,1895,215624738,76576521
Chhattisgarh,2010,C.B. OF TRUST,196,77,37444239,10460322
Chhattisgarh,2010,TOTAL (MANUAL),10569,3623,472964216,136704392
Chhattisgarh,2010,OTHER KINDS OF PROP. OFF.,183,101,39538454,9899802
Chhattisgarh,2011,C.B. OF TRUST,180,55,75388634,16984412
Chhattisgarh,2011,THEFTS,5315,1682,238358639,120235377
Chhattisgarh,2011,ROBBERY,470,283,35695139,16568884
Chhattisgarh,2011,DACOITY,68,28,22407440,12733630
Chhattisgarh,2011,BURGLARY,3548,1069,114358196,26936057
Chhattisgarh,2011,TOTAL (MANUAL),9748,3210,525539339,202970917
Chhattisgarh,2011,OTHER KINDS OF PROP. OFF.,167,93,39331291,9512557
Chhattisgarh,2012,BURGLARY,3314,1107,110644006,30694112
Chhattisgarh,2012,THEFTS,5318,1878,247663702,95330920
Chhattisgarh,2012,C.B. OF TRUST,148,68,110498795,11686473
Chhattisgarh,2012,OTHER KINDS OF PROP. OFF.,167,62,61570630,22625073
Chhattisgarh,2012,COMP. TOTAL (6 TO 15),9423,3415,576587068,177864733
Chhattisgarh,2012,ROBBERY,412,275,30214067,14628005
Chhattisgarh,2012,TOTAL (MANUAL),9423,3415,576587068,177864733
Chhattisgarh,2012,DACOITY,64,25,15995868,2900150
Goa,2001,OTHER KINDS OF PROP. OFF.,34,1,122480590,10000
Goa,2001,C.B. OF TRUST,20,7,86629777,1720400
Goa,2001,TOTAL (MANUAL),1004,289,239891783,9521526
Goa,2001,ROBBERY,24,11,2045375,640780
Goa,2001,BURGLARY,347,65,9991574,895875
Goa,2001,THEFTS,572,202,18220340,6123044
Goa,2001,DACOITY,7,3,524127,131427
Goa,2002,ROBBERY,22,11,410810,170410
Goa,2002,TOTAL (MANUAL),951,220,70067569,9847158
Goa,2002,OTHER KINDS OF PROP. OFF.,56,1,33644850,1332208
Goa,2002,C.B. OF TRUST,16,1,5408663,100850
Goa,2002,BURGLARY,359,74,12622949,1753917
Goa,2002,DACOITY,5,2,1083300,555300
Goa,2002,THEFTS,493,131,16896997,5934473
Goa,2003,THEFTS,458,191,13088098,3691138
Goa,2003,OTHER KINDS OF PROP. OFF.,77,5,198400135,181400
Goa,2003,C.B. OF TRUST,43,8,51284369,2189155
Goa,2003,DACOITY,4,1,1303000,255000
Goa,2003,ROBBERY,21,11,871350,79510
Goa,2003,BURGLARY,244,109,10457254,2170727
Goa,2003,TOTAL (MANUAL),847,325,275404206,8566930
Goa,2004,DACOITY,5,2,456650,203000
Goa,2004,ROBBERY,17,8,1095580,428500
Goa,2004,THEFTS,493,207,16229270,4645222
Goa,2004,C.B. OF TRUST,34,7,11010936,1555720
Goa,2004,TOTAL (MANUAL),846,312,95000374,9454256
Goa,2004,OTHER KINDS OF PROP. OFF.,52,7,51919570,411000
Goa,2004,BURGLARY,245,81,14288368,2210814
Goa,2005,ROBBERY,25,12,3378441,1248880
Goa,2005,DACOITY,2,2,2077574,1588200
Goa,2005,BURGLARY,257,71,13803082,1909368
Goa,2005,THEFTS,490,175,29695016,8290411
Goa,2005,C.B. OF TRUST,42,8,24107134,814936
Goa,2005,OTHER KINDS OF PROP. OFF.,38,5,24694420,185000
Goa,2005,TOTAL (MANUAL),854,273,97755667,14036795
Goa,2006,DACOITY,7,1,741481,63900
Goa,2006,TOTAL (MANUAL),801,240,128964711,18044619
Goa,2006,OTHER KINDS OF PROP. OFF.,37,2,62634507,210000
Goa,2006,C.B. OF TRUST,25,9,6906420,3928190
Goa,2006,THEFTS,486,173,36772354,10426923
Goa,2006,BURGLARY,230,48,18460149,3338956
Goa,2006,ROBBERY,16,7,3449800,76650
Goa,2007,TOTAL (MANUAL),845,237,129339357,17147274
Goa,2007,DACOITY,7,4,13597350,1142309
Goa,2007,ROBBERY,22,13,6447620,5148378
Goa,2007,BURGLARY,271,49,26963400,1468865
Goa,2007,THEFTS,484,160,38412511,7395072
Goa,2007,C.B. OF TRUST,25,7,26805017,1192650
Goa,2007,OTHER KINDS OF PROP. OFF.,36,4,17113459,800000
Goa,2008,ROBBERY,23,7,2311380,118800
Goa,2008,OTHER KINDS OF PROP. OFF.,70,1,24862812,90000
Goa,2008,C.B. OF TRUST,40,6,18853727,3261600
Goa,2008,THEFTS,595,195,51331469,17312994
Goa,2008,COMP. TOTAL (6 TO 15),1021,293,116536210,24414356
Goa,2008,TOTAL (MANUAL),1021,293,116536210,24414356
Goa,2008,DACOITY,2,0,6100,0
Goa,2008,BURGLARY,291,84,19170722,3630962
Goa,2009,THEFTS,840,212,56510550,14103333
Goa,2009,TOTAL (MANUAL),1242,319,656580967,26756962
Goa,2009,DACOITY,4,2,2255300,718865
Goa,2009,ROBBERY,29,14,4152080,1812500
Goa,2009,BURGLARY,283,71,33425540,7598920
Goa,2009,OTHER KINDS OF PROP. OFF.,40,6,59503271,493900
Goa,2009,C.B. OF TRUST,46,14,500734226,2029444
Goa,2010,ROBBERY,36,27,5842300,2245750
Goa,2010,DACOITY,2,2,270000,150000
Goa,2010,BURGLARY,344,63,35912213,2767165
Goa,2010,THEFTS,1017,313,130811294,14117077
Goa,2010,C.B. OF TRUST,45,22,16153977,3744000
Goa,2010,OTHER KINDS OF PROP. OFF.,39,7,42276054,209800
Goa,2010,TOTAL (MANUAL),1483,434,231265838,23233792
Goa,2011,THEFTS,1082,315,114234220,26421467
Goa,2011,ROBBERY,23,9,14634300,261400
Goa,2011,DACOITY,2,1,70000,3400
Goa,2011,OTHER KINDS OF PROP. OFF.,56,2,672145700,90000
Goa,2011,C.B. OF TRUST,27,3,26216206,2150000
Goa,2011,BURGLARY,298,53,37561593,3492782
Goa,2011,TOTAL (MANUAL),1488,383,864862019,32419049
Goa,2012,C.B. OF TRUST,56,8,4328066071,907705
Goa,2012,OTHER KINDS OF PROP. OFF.,126,13,216908863,1426417
Goa,2012,THEFTS,874,248,102186500,22185032
Goa,2012,BURGLARY,343,67,42763748,7402797
Goa,2012,ROBBERY,23,7,2244295,634500
Goa,2012,DACOITY,6,4,1118000,300000
Goa,2012,TOTAL (MANUAL),1428,347,4693287477,32856451
Gujarat,2001,DACOITY,313,170,62407290,18828557
Gujarat,2001,C.B. OF TRUST,1348,559,269095652,41218510
Gujarat,2001,TOTAL (MANUAL),24410,7385,1149816876,227693256
Gujarat,2001,THEFTS,15625,4620,422312609,119724259
Gujarat,2001,BURGLARY,4928,1124,141650158,20821285
Gujarat,2001,OTHER KINDS OF PROP. OFF.,1243,500,213828834,12975707
Gujarat,2001,ROBBERY,953,412,40522333,14124938
Gujarat,2002,C.B. OF TRUST,1188,500,1062403379,28577528
Gujarat,2002,OTHER KINDS OF PROP. OFF.,1155,516,2333126020,21927354
Gujarat,2002,THEFTS,15616,4373,403166909,98840231
Gujarat,2002,BURGLARY,5153,1183,181149074,21424048
Gujarat,2002,ROBBERY,1069,454,50444547,12152390
Gujarat,2002,DACOITY,777,407,1384990691,16788842
Gujarat,2002,TOTAL (MANUAL),24958,7433,5415280620,199710393
Gujarat,2003,OTHER KINDS OF PROP. OFF.,1426,647,1424565020,12070140
Gujarat,2003,C.B. OF TRUST,1545,655,1008562218,73873740
Gujarat,2003,THEFTS,19181,5422,515160046,151790393
Gujarat,2003,BURGLARY,5684,1334,186884277,27303140
Gujarat,2003,ROBBERY,1241,508,48163574,16642701
Gujarat,2003,DACOITY,330,150,58594806,26943119
Gujarat,2003,TOTAL (MANUAL),29407,8716,3241929941,308623233
Gujarat,2004,TOTAL (MANUAL),28241,8292,6575355355,288923468
Gujarat,2004,C.B. OF TRUST,1419,608,1737345011,26259866
Gujarat,2004,BURGLARY,5670,1308,211383452,34432089
Gujarat,2004,ROBBERY,1113,545,101969124,29490474
Gujarat,2004,DACOITY,348,160,108910792,28413195
Gujarat,2004,OTHER KINDS OF PROP. OFF.,1239,602,3935809186,25822243
Gujarat,2004,THEFTS,18452,5069,479937790,144505601
Gujarat,2005,ROBBERY,935,523,60100567,23294791
Gujarat,2005,DACOITY,277,157,32272584,17577759
Gujarat,2005,OTHER KINDS OF PROP. OFF.,1214,667,779267815,64819027
Gujarat,2005,TOTAL (MANUAL),26642,8366,3780550600,354357628
Gujarat,2005,BURGLARY,5140,1188,254373304,67616775
Gujarat,2005,THEFTS,17834,5153,488494904,149243011
Gujarat,2005,C.B. OF TRUST,1242,678,2166041426,31806265
Gujarat,2006,C.B. OF TRUST,1118,567,635317912,30433157
Gujarat,2006,BURGLARY,5363,1405,299427287,32600847
Gujarat,2006,THEFTS,18331,5556,1233220340,195358310
Gujarat,2006,ROBBERY,932,516,45487893,22271713
Gujarat,2006,DACOITY,280,137,56772711,19823619
Gujarat,2006,OTHER KINDS OF PROP. OFF.,1193,722,318593513,11501866
Gujarat,2006,TOTAL (MANUAL),27217,8903,2588819656,311989512
Gujarat,2007,OTHER KINDS OF PROP. OFF.,999,621,260363423,97197058
Gujarat,2007,ROBBERY,1057,540,54092964,22082579
Gujarat,2007,THEFTS,18047,5657,633456546,176182189
Gujarat,2007,C.B. OF TRUST,987,545,435121121,40665503
Gujarat,2007,TOTAL (MANUAL),26069,8735,1693060148,402552487
Gujarat,2007,BURGLARY,4747,1230,240405506,44679310
Gujarat,2007,DACOITY,232,142,69620588,21745848
Gujarat,2008,DACOITY,245,144,47516980,20476176
Gujarat,2008,BURGLARY,4932,1430,339401791,59048428
Gujarat,2008,THEFTS,20557,6145,717642182,213420597
Gujarat,2008,C.B. OF TRUST,917,482,787400659,56003381
Gujarat,2008,OTHER KINDS OF PROP. OFF.,887,466,592715720,30324325
Gujarat,2008,ROBBERY,1302,649,57524742,22165510
Gujarat,2008,TOTAL (MANUAL),28840,9316,2542202074,401438417
Gujarat,2009,TOTAL (MANUAL),27407,8487,2731563586,483489012
Gujarat,2009,OTHER KINDS OF PROP. OFF.,806,399,426017436,12177589
Gujarat,2009,THEFTS,19574,5664,849896797,216620109
Gujarat,2009,C.B. OF TRUST,987,450,1021824056,126189464
Gujarat,2009,DACOITY,243,135,73734850,37169667
Gujarat,2009,ROBBERY,1412,570,75901458,37156677
Gujarat,2009,BURGLARY,4385,1269,284188989,54175506
Gujarat,2010,DACOITY,180,122,107788928,21733654
Gujarat,2010,BURGLARY,3850,1085,280852404,57003755
Gujarat,2010,ROBBERY,1367,627,106357622,30477347
Gujarat,2010,C.B. OF TRUST,997,406,757466843,72558586
Gujarat,2010,OTHER KINDS OF PROP. OFF.,720,344,1419805631,36179589
Gujarat,2010,TOTAL (MANUAL),23839,7689,3496820849,472276132
Gujarat,2010,THEFTS,16725,5105,824549421,254323201
Gujarat,2011,C.B. OF TRUST,1115,509,1361969568,95349304
Gujarat,2011,BURGLARY,4362,1358,369357714,76041052
Gujarat,2011,ROBBERY,1355,695,103734195,31869912
Gujarat,2011,TOTAL (MANUAL),23970,8413,3497951236,688905851
Gujarat,2011,OTHER KINDS OF PROP. OFF.,973,503,456191518,32124108
Gujarat,2011,THEFTS,15946,5203,1128021982,421338922
Gujarat,2011,DACOITY,219,145,78676259,32182553
Gujarat,2012,THEFTS,15870,4864,1268323831,444467133
Gujarat,2012,ROBBERY,1351,719,137667371,64190380
Gujarat,2012,BURGLARY,4538,1344,495068237,82126972
Gujarat,2012,COMP. TOTAL (6 TO 15),23926,8139,15046116076,773449668
Gujarat,2012,C.B. OF TRUST,971,543,2095223066,101146802
Gujarat,2012,DACOITY,281,169,89921718,27572451
Gujarat,2012,OTHER KINDS OF PROP. OFF.,915,500,10959911853,53945930
Gujarat,2012,TOTAL (MANUAL),23926,8139,15046116076,773449668
Haryana,2001,OTHER KINDS OF PROP. OFF.,326,288,29351785,28709985
Haryana,2001,TOTAL (MANUAL),10536,5103,404891438,257829983
Haryana,2001,DACOITY,76,57,20468041,15431491
Haryana,2001,C.B. OF TRUST,530,411,23718405,12296549
Haryana,2001,ROBBERY,391,276,38952335,26308703
Haryana,2001,BURGLARY,3098,1257,64576543,27369980
Haryana,2001,THEFTS,6115,2814,227824329,147713275
Haryana,2002,TOTAL (MANUAL),10266,5230,426332721,277900567
Haryana,2002,BURGLARY,3048,1360,66317650,28293801
Haryana,2002,DACOITY,61,46,19640230,17158072
Haryana,2002,OTHER KINDS OF PROP. OFF.,341,295,30015057,27874325
Haryana,2002,C.B. OF TRUST,524,393,27012212,15305302
Haryana,2002,ROBBERY,330,249,50342798,33922016
Haryana,2002,THEFTS,5962,2887,233004774,155347051
Haryana,2003,OTHER KINDS OF PROP. OFF.,606,572,34305575,33077853
Haryana,2003,C.B. OF TRUST,518,406,87599104,64030730
Haryana,2003,THEFTS,5589,2885,243550719,167071045
Haryana,2003,DACOITY,63,51,21710332,14729050
Haryana,2003,ROBBERY,281,216,35450325,21237086
Haryana,2003,TOTAL (MANUAL),10024,5541,491144301,335546082
Haryana,2003,BURGLARY,2967,1411,68528246,35400318
Haryana,2004,C.B. OF TRUST,466,332,49781427,30549043
Haryana,2004,DACOITY,52,42,18937871,16370790
Haryana,2004,ROBBERY,244,183,38088024,26742282
Haryana,2004,OTHER KINDS OF PROP. OFF.,722,674,24302613,22053698
Haryana,2004,BURGLARY,2779,1245,67073579,32863180
Haryana,2004,TOTAL (MANUAL),10821,5474,462879255,286452866
Haryana,2004,THEFTS,6558,2998,264695741,157873873
Haryana,2005,DACOITY,87,76,20960375,12484500
Haryana,2005,TOTAL (MANUAL),13584,6343,969967442,750221865
Haryana,2005,C.B. OF TRUST,492,386,62176960,40091504
Haryana,2005,OTHER KINDS OF PROP. OFF.,556,483,443888058,442433920
Haryana,2005,THEFTS,8650,3591,300518761,171302996
Haryana,2005,BURGLARY,3425,1527,81885034,42714747
Haryana,2005,ROBBERY,374,280,60538254,41194198
Haryana,2006,BURGLARY,3996,1760,107827743,41950479
Haryana,2006,ROBBERY,408,309,63152965,45978237
Haryana,2006,C.B. OF TRUST,685,601,122768355,77297743
Haryana,2006,THEFTS,10513,4378,441919663,224200922
Haryana,2006,DACOITY,104,90,33723720,28483415
Haryana,2006,TOTAL (MANUAL),16375,7695,793943325,440261907
Haryana,2006,OTHER KINDS OF PROP. OFF.,669,557,24550879,22351111
Haryana,2007,THEFTS,11047,4489,446296828,234719856
Haryana,2007,BURGLARY,4231,1762,150481239,48001068
Haryana,2007,TOTAL (MANUAL),17536,7895,889795438,503716384
Haryana,2007,OTHER KINDS OF PROP. OFF.,941,598,43645570,40616070
Haryana,2007,C.B. OF TRUST,676,585,118459813,94736133
Haryana,2007,ROBBERY,502,359,86991285,58084857
Haryana,2007,DACOITY,139,102,43920703,27558400
Haryana,2008,DACOITY,120,99,73685380,27846605
Haryana,2008,ROBBERY,555,395,98144107,64320526
Haryana,2008,BURGLARY,4249,1579,125403133,42033932
Haryana,2008,C.B. OF TRUST,763,537,100913081,63587887
Haryana,2008,OTHER KINDS OF PROP. OFF.,986,713,88346009,77331388
Haryana,2008,TOTAL (MANUAL),19382,7704,964429164,508379848
Haryana,2008,THEFTS,12709,4381,477937454,233259510
Haryana,2009,THEFTS,12912,4316,482437909,203685733
Haryana,2009,DACOITY,153,112,61000202,34545985
Haryana,2009,BURGLARY,4077,1470,157613697,45697180
Haryana,2009,C.B. OF TRUST,761,577,120410728,95125041
Haryana,2009,TOTAL (MANUAL),19595,7569,990054398,482839759
Haryana,2009,OTHER KINDS OF PROP. OFF.,1013,660,54588481,36929964
Haryana,2009,ROBBERY,679,434,114003381,66855856
Haryana,2010,DACOITY,147,103,82418528,56906440
Haryana,2010,TOTAL (MANUAL),23549,8106,1247668627,659378421
Haryana,2010,OTHER KINDS OF PROP. OFF.,1214,725,50782590,39807090
Haryana,2010,C.B. OF TRUST,743,496,244175753,207754960
Haryana,2010,THEFTS,16266,4859,587990593,235612864
Haryana,2010,BURGLARY,4445,1442,165957683,46370810
Haryana,2010,ROBBERY,734,481,116343480,72926257
Haryana,2011,DACOITY,166,121,107435322,72337780
Haryana,2011,ROBBERY,638,367,155481959,77916234
Haryana,2011,BURGLARY,5005,1470,245493935,73868680
Haryana,2011,OTHER KINDS OF PROP. OFF.,1144,796,92966869,81439711
Haryana,2011,C.B. OF TRUST,645,371,135807250,37411845
Haryana,2011,TOTAL (MANUAL),25019,7889,1424353650,598567342
Haryana,2011,THEFTS,17421,4764,687168315,255593092
Haryana,2012,ROBBERY,711,423,183262688,99819056
Haryana,2012,BURGLARY,5129,1444,276775524,62981333
Haryana,2012,THEFTS,17590,4354,690736821,229481896
Haryana,2012,DACOITY,203,148,97274175,67310375
Haryana,2012,TOTAL (MANUAL),25524,7392,1475671032,611277066
Haryana,2012,C.B. OF TRUST,626,348,128667775,84840651
Haryana,2012,COMP. TOTAL (6 TO 15),25524,7392,1475671032,611277066
Haryana,2012,OTHER KINDS OF PROP. OFF.,1265,675,98954049,66843755
Himachal Pradesh,2001,C.B. OF TRUST,59,20,10484933,5601360
Himachal Pradesh,2001,BURGLARY,812,93,17092490,2936881
Himachal Pradesh,2001,DACOITY,4,2,537290,429000
Himachal Pradesh,2001,OTHER KINDS OF PROP. OFF.,76,30,1673423,1007779
Himachal Pradesh,2001,THEFTS,596,209,27359454,13471070
Himachal Pradesh,2001,TOTAL (MANUAL),1573,367,59011695,24625652
Himachal Pradesh,2001,ROBBERY,26,13,1864105,1179562
Himachal Pradesh,2002,OTHER KINDS OF PROP. OFF.,66,29,2391348,2037448
Himachal Pradesh,2002,THEFTS,560,205,32445148,17186573
Himachal Pradesh,2002,C.B. OF TRUST,67,11,10117525,1663215
Himachal Pradesh,2002,DACOITY,0,0,0,0
Himachal Pradesh,2002,ROBBERY,15,6,1071889,447385
Himachal Pradesh,2002,BURGLARY,642,121,84519165,1595224
Himachal Pradesh,2002,TOTAL (MANUAL),1350,372,130545075,22929845
Himachal Pradesh,2003,BURGLARY,645,105,13237009,1556198
Himachal Pradesh,2003,ROBBERY,17,8,1817690,853710
Himachal Pradesh,2003,DACOITY,8,4,830345,475820
Himachal Pradesh,2003,THEFTS,616,248,41384310,22719644
Himachal Pradesh,2003,OTHER KINDS OF PROP. OFF.,63,28,9676998,421487
Himachal Pradesh,2003,TOTAL (MANUAL),1392,406,71797484,26443221
Himachal Pradesh,2003,C.B. OF TRUST,43,13,4851132,416362
Himachal Pradesh,2004,THEFTS,636,272,39564006,12245505
Himachal Pradesh,2004,TOTAL (MANUAL),1541,481,86940050,19122864
Himachal Pradesh,2004,C.B. OF TRUST,84,18,23374331,345774
Himachal Pradesh,2004,BURGLARY,722,148,20825219,4852642
Himachal Pradesh,2004,ROBBERY,20,11,1867003,708452
Himachal Pradesh,2004,DACOITY,1,1,1350,1350
Himachal Pradesh,2004,OTHER KINDS OF PROP. OFF.,78,31,1308141,969141
Himachal Pradesh,2005,C.B. OF TRUST,73,6,7746849,203300
Himachal Pradesh,2005,OTHER KINDS OF PROP. OFF.,70,32,1515813,1014313
Himachal Pradesh,2005,TOTAL (MANUAL),1551,479,77410389,28142036
Himachal Pradesh,2005,DACOITY,6,6,1302207,1268309
Himachal Pradesh,2005,THEFTS,689,289,42396464,20925983
Himachal Pradesh,2005,BURGLARY,691,136,22867849,4125018
Himachal Pradesh,2005,ROBBERY,22,10,1581207,605113
Himachal Pradesh,2006,C.B. OF TRUST,123,16,40419057,2296611
Himachal Pradesh,2006,DACOITY,7,3,1509816,460500
Himachal Pradesh,2006,ROBBERY,29,21,3503690,2513990
Himachal Pradesh,2006,TOTAL (MANUAL),1752,504,141066404,40052403
Himachal Pradesh,2006,BURGLARY,732,136,31873315,6597727
Himachal Pradesh,2006,THEFTS,807,295,59987972,27058836
Himachal Pradesh,2006,OTHER KINDS OF PROP. OFF.,54,33,3772554,1124739
Himachal Pradesh,2007,THEFTS,1077,363,80227548,32715520
Himachal Pradesh,2007,DACOITY,4,3,4091834,1555100
Himachal Pradesh,2007,BURGLARY,831,144,35526149,4843695
Himachal Pradesh,2007,C.B. OF TRUST,104,10,30067323,1583229
Himachal Pradesh,2007,OTHER KINDS OF PROP. OFF.,75,28,5003543,1924282
Himachal Pradesh,2007,TOTAL (MANUAL),2114,557,159234517,44316726
Himachal Pradesh,2007,ROBBERY,23,9,4318120,1694900
Himachal Pradesh,2008,DACOITY,6,5,8031003,6613138
Himachal Pradesh,2008,BURGLARY,872,151,41861345,9661388
Himachal Pradesh,2008,TOTAL (MANUAL),2214,658,162707882,44637193
Himachal Pradesh,2008,OTHER KINDS OF PROP. OFF.,72,10,6447364,508928
Himachal Pradesh,2008,C.B. OF TRUST,109,14,21016747,3011299
Himachal Pradesh,2008,THEFTS,1135,468,83332493,24133060
Himachal Pradesh,2008,ROBBERY,20,10,2018930,709380
Himachal Pradesh,2009,C.B. OF TRUST,88,16,22831778,3410288
Himachal Pradesh,2009,ROBBERY,21,8,3151270,112080
Himachal Pradesh,2009,THEFTS,820,354,80053807,29931601
Himachal Pradesh,2009,DACOITY,4,4,3313700,2304700
Himachal Pradesh,2009,OTHER KINDS OF PROP. OFF.,92,18,169516316,3134411
Himachal Pradesh,2009,TOTAL (MANUAL),1804,536,327419480,43091787
Himachal Pradesh,2009,BURGLARY,779,136,48552609,4198707
Himachal Pradesh,2010,THEFTS,837,377,97672155,42188916
Himachal Pradesh,2010,TOTAL (MANUAL),1709,539,190373429,60928343
Himachal Pradesh,2010,OTHER KINDS OF PROP. OFF.,45,14,6821835,253281
Himachal Pradesh,2010,DACOITY,2,1,838400,250000
Himachal Pradesh,2010,ROBBERY,11,7,1619465,1171465
Himachal Pradesh,2010,BURGLARY,743,131,61646681,16611843
Himachal Pradesh,2010,C.B. OF TRUST,71,9,21774893,452838
Himachal Pradesh,2011,THEFTS,1042,468,106181163,52247480
Himachal Pradesh,2011,DACOITY,1,0,10000,0
Himachal Pradesh,2011,C.B. OF TRUST,121,19,57260500,2712289
Himachal Pradesh,2011,BURGLARY,995,187,84962311,15286691
Himachal Pradesh,2011,ROBBERY,10,8,1350425,980400
Himachal Pradesh,2011,TOTAL (MANUAL),2228,695,260797662,79328083
Himachal Pradesh,2011,OTHER KINDS OF PROP. OFF.,59,13,11033263,8101223
Himachal Pradesh,2012,COMP. TOTAL (6 TO 15),1898,643,278459202,73229697
Himachal Pradesh,2012,TOTAL (MANUAL),1898,643,278459202,73229697
Himachal Pradesh,2012,DACOITY,1,0,150000,0
Himachal Pradesh,2012,BURGLARY,928,199,90298558,13780320
Himachal Pradesh,2012,OTHER KINDS OF PROP. OFF.,53,14,5408523,2320275
Himachal Pradesh,2012,C.B. OF TRUST,137,33,89584645,9009521
Himachal Pradesh,2012,ROBBERY,10,7,2320300,1637800
Himachal Pradesh,2012,THEFTS,769,390,90697176,46481781
Jammu & Kashmir,2001,DACOITY,24,3,1487230,327310
Jammu & Kashmir,2001,ROBBERY,161,40,10121303,5111430
Jammu & Kashmir,2001,THEFTS,1919,618,59706866,25032584
Jammu & Kashmir,2001,BURGLARY,1345,161,27222163,2905184
Jammu & Kashmir,2001,TOTAL (MANUAL),3531,833,100502822,33575768
Jammu & Kashmir,2001,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2001,C.B. OF TRUST,82,11,1965260,199260
Jammu & Kashmir,2002,TOTAL (MANUAL),3637,1059,102159196,35295212
Jammu & Kashmir,2002,DACOITY,42,4,2244303,177050
Jammu & Kashmir,2002,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2002,C.B. OF TRUST,91,11,1279159,441846
Jammu & Kashmir,2002,THEFTS,2020,842,59513412,28899937
Jammu & Kashmir,2002,BURGLARY,1321,167,31854450,3479429
Jammu & Kashmir,2002,ROBBERY,163,35,7267872,2296950
Jammu & Kashmir,2003,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2003,DACOITY,23,4,5558150,5042200
Jammu & Kashmir,2003,TOTAL (MANUAL),3768,1143,130153108,57110184
Jammu & Kashmir,2003,ROBBERY,154,43,10230764,4026030
Jammu & Kashmir,2003,BURGLARY,1526,224,40211927,5203336
Jammu & Kashmir,2003,C.B. OF TRUST,116,20,309306,245761
Jammu & Kashmir,2003,THEFTS,1949,852,73842961,42592857
Jammu & Kashmir,2004,THEFTS,1939,735,57946828,32308901
Jammu & Kashmir,2004,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2004,ROBBERY,129,45,8646245,4988990
Jammu & Kashmir,2004,TOTAL (MANUAL),3621,1039,111024669,47110376
Jammu & Kashmir,2004,C.B. OF TRUST,105,24,1640435,1293015
Jammu & Kashmir,2004,DACOITY,28,0,8005781,0
Jammu & Kashmir,2004,BURGLARY,1420,235,34785380,8519470
Jammu & Kashmir,2005,TOTAL (MANUAL),3544,979,110658546,43064999
Jammu & Kashmir,2005,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2005,C.B. OF TRUST,117,21,6830435,2100252
Jammu & Kashmir,2005,THEFTS,1901,703,60480028,33870216
Jammu & Kashmir,2005,BURGLARY,1397,209,36077553,4920818
Jammu & Kashmir,2005,ROBBERY,116,46,7010730,2173713
Jammu & Kashmir,2005,DACOITY,13,0,259800,0
Jammu & Kashmir,2006,OTHER KINDS OF PROP. OFF.,0,0,0,0
Jammu & Kashmir,2006,DACOITY,10,3,164343,48370
Jammu & Kashmir,2006,BURGLARY,1351,189,32683515,3765294
Jammu & Kashmir,2006,THEFTS,1937,816,71426784,39188485
Jammu & Kashmir,2006,TOTAL (MANUAL),3531,1068,132745856,58372605
Jammu & Kashmir,2006,C.B. OF TRUST,121,28,24202050,13125437
Jammu & Kashmir,2006,ROBBERY,112,32,4269164,2245019
Jammu & Kashmir,2007,DACOITY,11,2,525600,30600
Jammu & Kashmir,2007,TOTAL (MANUAL),3808,1267,205535168,76286462
Jammu & Kashmir,2007,OTHER KINDS OF PROP. OFF.,418,144,24082304,16184960
Jammu & Kashmir,2007,C.B. OF TRUST,58,30,67056704,11345485
Jammu & Kashmir,2007,THEFTS,1756,761,63231699,34918058
Jammu & Kashmir,2007,BURGLARY,1458,295,43615181,9884179
Jammu & Kashmir,2007,ROBBERY,107,35,7023680,3923180
Jammu & Kashmir,2008,BURGLARY,1332,272,59730434,11130990
Jammu & Kashmir,2008,DACOITY,2,2,279500,225000
Jammu & Kashmir,2008,OTHER KINDS OF PROP. OFF.,202,104,4994228,2221628
Jammu & Kashmir,2008,THEFTS,2073,694,88290878,41599604
Jammu & Kashmir,2008,TOTAL (MANUAL),3694,1098,163989540,61033622
Jammu & Kashmir,2008,ROBBERY,60,24,6892220,5474120
Jammu & Kashmir,2008,C.B. OF TRUST,25,2,3802280,382280
Jammu & Kashmir,2009,DACOITY,1,1,835000,810000
Jammu & Kashmir,2009,ROBBERY,61,22,4186195,2081610
Jammu & Kashmir,2009,BURGLARY,1550,332,68121065,14636419
Jammu & Kashmir,2009,THEFTS,2517,1078,119533334,58148666
Jammu & Kashmir,2009,C.B. OF TRUST,36,16,10224702,4537375
Jammu & Kashmir,2009,TOTAL (MANUAL),4341,1522,214105545,85958912
Jammu & Kashmir,2009,OTHER KINDS OF PROP. OFF.,176,73,11205249,5744842
Jammu & Kashmir,2010,BURGLARY,1385,325,61950557,12268021
Jammu & Kashmir,2010,OTHER KINDS OF PROP. OFF.,6,6,48400,34400
Jammu & Kashmir,2010,DACOITY,5,2,397190,16500
Jammu & Kashmir,2010,TOTAL (MANUAL),3978,1351,226297520,97683758
Jammu & Kashmir,2010,C.B. OF TRUST,36,14,14738800,3364800
